Iteration,Average_Reward
1,-2.215302083333295
2,-2.186389583333272
3,-2.1213791666666117
4,-2.2399083333333003
5,-2.1430104166666126
6,-2.198695833333283
7,-2.1992812499999497
8,-2.139679166666614
9,-2.1509458333332825
10,-2.133364583333291
11,-2.192806249999947
12,-2.1132916666666084
13,-2.2131583333332814
14,-2.160247916666612
15,-2.12657499999995
16,-2.099833333333275
17,-2.099749999999942
18,-2.1197395833332813
19,-2.1165874999999454
20,-2.099833333333275
21,-2.099999999999942
22,-2.1014812499999493
23,-2.123164583333275
24,-2.0980499999999496
25,-2.096754166666616
26,-2.15342083333328
27,-2.093879166666619
28,-2.0997791666666084
29,-2.1180604166666193
30,-2.0989145833332765
31,-2.1861833333332834
32,-2.0999166666666085
33,-2.099833333333275
34,-2.099958333333275
35,-2.0997520833332763
36,-2.0999166666666085
37,-2.099999999999942
38,-2.096414583333279
39,-2.099749999999942
40,-2.099833333333275
41,-2.102302083333273
42,-2.0931354166666125
43,-2.1136624999999385
44,-2.1104166666666075
45,-2.09311458333328
46,-2.0999770833332754
47,-2.0934187499999455
48,-2.0995874999999473
49,-2.15956666666661
50,-2.083441666666624
51,-2.093393749999946
52,-2.1460187499999615
53,-2.1125916666666136
54,-2.1031562499999437
55,-2.097835416666612
56,-2.1186520833332785
57,-2.1166604166666083
58,-2.116879166666608
59,-2.093281249999946
60,-2.1333645833332744
61,-2.1010708333332935
62,-2.127495833333291
63,-2.1044833333332833
64,-2.110289583333279
65,-2.1135124999999526
66,-2.180524999999961
67,-2.1294499999999488
68,-2.113435416666616
69,-2.0968562499999495
70,-2.0936645833332896
71,-2.1628499999999513
72,-2.116016666666615
73,-2.1286999999999536
74,-2.08673749999996
75,-2.0999729166666086
76,-2.1144541666666163
77,-2.1165666666666083
78,-2.109749999999946
79,-2.093314583333279
80,-2.113283333333283
81,-2.108972916666617
82,-2.1066041666666306
83,-2.141620833333281
84,-2.1170374999999417
85,-2.119149999999948
86,-2.106506249999954
87,-2.1170145833332787
88,-2.1299395833332833
89,-2.113189583333283
90,-2.144543749999955
91,-2.107045833333275
92,-2.155943749999954
93,-2.093366666666623
94,-1.9710791666666296
95,-2.128106249999958
96,-2.1062854166666214
97,-2.1340041666666196
98,-2.1136354166666194
99,-2.0960270833332837
100,-2.0932479166666127
101,-2.1043541666666163
102,-2.1182333333332912
103,-2.10095208333329
104,-2.106649999999953
105,-2.10376874999996
106,-2.0943624999999457
107,-2.0864583333332822
108,-2.104177083333293
109,-2.1021520833332907
110,-2.101512499999958
111,-2.116252083333279
112,-2.1140354166666206
113,-2.1098416666666227
114,-2.0797291666666204
115,-2.1042020833332877
116,-2.0823124999999534
117,-2.1185437499999624
118,-2.1229166666666246
119,-2.0866416666666163
120,-2.1029458333332878
121,-2.090452083333286
122,-2.104712499999961
123,-2.110041666666617
124,-2.1076354166666205
125,-2.0805708333332866
126,-2.104199999999961
127,-2.0851854166666235
128,-2.086652083333283
129,-2.1069833333332872
130,-2.0810833333332868
131,-2.1231145833332983
132,-2.086589583333283
133,-2.089016666666616
134,-2.1179645833332947
135,-2.0848979166666233
136,-2.1098895833332905
137,-2.085497916666623
138,-2.091064583333283
139,-2.0817979166666207
140,-2.088691666666617
141,-2.1102666666666137
142,-2.089735416666616
143,-2.1099729166666115
144,-2.106716666666615
145,-2.03652083333329
146,-2.099999999999942
147,-2.116577083333275
148,-2.150679166666624
149,-2.164037499999959
150,-2.0999166666666085
151,-2.187827083333282
152,-2.208845833333285
153,-2.118270833333282
154,-2.1041062499999414
155,-2.0999166666666085
156,-2.1291583333332738
157,-2.096174999999949
158,-2.119974999999955
159,-2.099999999999942
160,-2.154924999999943
161,-2.0962187499999487
162,-2.122537499999943
163,-2.1916708333332893
164,-2.2123812499999476
165,-2.1247354166666064
