Iteration,Agent_ID,Average_Reward
1,0,-2.2712916666666367
1,1,-2.1173124999999433
1,2,-2.2163958333333302
1,3,-2.251906249999955
1,4,-2.2196041666666098
2,0,-2.498979166666594
2,1,-2.0996666666666086
2,2,-2.1333020833332754
2,3,-2.099999999999942
2,4,-2.099999999999942
3,0,-2.099999999999942
3,1,-2.099999999999942
3,2,-2.0668229166666277
3,3,-2.2400729166666054
3,4,-2.099999999999942
4,0,-2.099999999999942
4,1,-2.0991666666666084
4,2,-2.199187499999982
4,3,-2.581874999999968
4,4,-2.2193125000000014
5,0,-2.099999999999942
5,1,-2.099374999999942
5,2,-2.099999999999942
5,3,-2.3156770833332945
5,4,-2.099999999999942
6,0,-2.099999999999942
6,1,-2.098958333333275
6,2,-2.594520833333314
6,3,-2.099999999999942
6,4,-2.099999999999942
7,0,-2.099999999999942
7,1,-2.099999999999942
7,2,-2.5964062499999807
7,3,-2.099999999999942
7,4,-2.099999999999942
8,0,-2.099999999999942
8,1,-2.0987499999999417
8,2,-2.1007083333332752
8,3,-2.2989374999999694
8,4,-2.099999999999942
9,0,-2.099999999999942
9,1,-2.099999999999942
9,2,-2.166583333333276
9,3,-2.2881458333333113
9,4,-2.099999999999942
10,0,-2.099999999999942
10,1,-2.099999999999942
10,2,-2.266822916666689
10,3,-2.099999999999942
10,4,-2.099999999999942
11,0,-2.4989062499999277
11,1,-2.0985416666666086
11,2,-2.1665833333333153
11,3,-2.099999999999942
11,4,-2.099999999999942
12,0,-2.099999999999942
12,1,-2.099999999999942
12,2,-2.1664583333332756
12,3,-2.099999999999942
12,4,-2.099999999999942
13,0,-2.615864583333312
13,1,-2.099999999999942
13,2,-2.1509687499999353
13,3,-2.0989583333332753
13,4,-2.099999999999942
14,0,-2.382593749999932
14,1,-2.099999999999942
14,2,-2.1186458333333045
14,3,-2.099999999999942
14,4,-2.099999999999942
15,0,-2.099999999999942
15,1,-2.0997916666666083
15,2,-2.2330833333333158
15,3,-2.099999999999942
15,4,-2.099999999999942
16,0,-2.099999999999942
16,1,-2.0991666666666084
16,2,-2.099999999999942
16,3,-2.099999999999942
16,4,-2.099999999999942
17,0,-2.099999999999942
17,1,-2.0991666666666084
17,2,-2.099999999999942
17,3,-2.099583333333275
17,4,-2.099999999999942
18,0,-2.216531249999938
18,1,-2.099999999999942
18,2,-2.0834166666666443
18,3,-2.0987499999999417
18,4,-2.099999999999942
19,0,-2.216531249999938
19,1,-2.099583333333275
19,2,-2.066822916666628
19,3,-2.099999999999942
19,4,-2.099999999999942
20,0,-2.099999999999942
20,1,-2.0991666666666084
20,2,-2.099999999999942
20,3,-2.099999999999942
20,4,-2.099999999999942
21,0,-2.099999999999942
21,1,-2.099999999999942
21,2,-2.099999999999942
21,3,-2.099999999999942
21,4,-2.099999999999942
22,0,-2.099999999999942
22,1,-2.1414166666666286
22,2,-2.0668229166666277
22,3,-2.0991666666666084
22,4,-2.099999999999942
23,0,-2.216531249999938
23,1,-2.099999999999942
23,2,-2.0992916666666126
23,3,-2.099999999999942
23,4,-2.099999999999942
24,0,-2.099999999999942
24,1,-2.099999999999942
24,2,-2.090249999999982
24,3,-2.099999999999942
24,4,-2.099999999999942
25,0,-2.099999999999942
25,1,-2.099999999999942
25,2,-2.0839791666666443
25,3,-2.0997916666666083
25,4,-2.099999999999942
26,0,-2.3829479166665983
26,1,-2.099999999999942
26,2,-2.084364583333311
26,3,-2.0997916666666083
26,4,-2.099999999999942
27,0,-2.099999999999942
27,1,-2.099999999999942
27,2,-2.07022916666666
27,3,-2.0991666666666084
27,4,-2.099999999999942
28,0,-2.100145833333275
28,1,-2.099999999999942
28,2,-2.099999999999942
28,3,-2.0987499999999417
28,4,-2.099999999999942
29,0,-2.099999999999942
29,1,-2.149968749999961
29,2,-2.1403333333333117
29,3,-2.099999999999942
29,4,-2.099999999999942
30,0,-2.099999999999942
30,1,-2.099999999999942
30,2,-2.09498958333328
30,3,-2.099583333333275
30,4,-2.099999999999942
31,0,-2.099999999999942
31,1,-2.5323749999999805
31,2,-2.099374999999942
31,3,-2.0991666666666084
31,4,-2.099999999999942
32,0,-2.099999999999942
32,1,-2.099583333333275
32,2,-2.099999999999942
32,3,-2.099999999999942
32,4,-2.099999999999942
33,0,-2.099999999999942
33,1,-2.0991666666666084
33,2,-2.099999999999942
33,3,-2.099999999999942
33,4,-2.099999999999942
34,0,-2.099999999999942
34,1,-2.0997916666666083
34,2,-2.099999999999942
34,3,-2.099999999999942
34,4,-2.099999999999942
35,0,-2.099999999999942
35,1,-2.099999999999942
35,2,-2.0989687499999476
35,3,-2.0997916666666083
35,4,-2.099999999999942
36,0,-2.099999999999942
36,1,-2.099999999999942
36,2,-2.099999999999942
36,3,-2.099583333333275
36,4,-2.099999999999942
37,0,-2.099999999999942
37,1,-2.099999999999942
37,2,-2.099999999999942
37,3,-2.099999999999942
37,4,-2.099999999999942
38,0,-2.099999999999942
38,1,-2.099999999999942
38,2,-2.082072916666625
38,3,-2.099999999999942
38,4,-2.099999999999942
39,0,-2.099999999999942
39,1,-2.0987499999999417
39,2,-2.099999999999942
39,3,-2.099999999999942
39,4,-2.099999999999942
40,0,-2.099999999999942
40,1,-2.099583333333275
40,2,-2.099999999999942
40,3,-2.099583333333275
40,4,-2.099999999999942
41,0,-2.099999999999942
41,1,-2.099999999999942
41,2,-2.1115104166665986
41,3,-2.099999999999942
41,4,-2.099999999999942
42,0,-2.099583333333275
42,1,-2.0991666666666084
42,2,-2.0669270833332947
42,3,-2.099999999999942
42,4,-2.099999999999942
43,0,-2.099999999999942
43,1,-2.099999999999942
43,2,-2.168312499999926
43,3,-2.099999999999942
43,4,-2.099999999999942
44,0,-2.099999999999942
44,1,-2.099999999999942
44,2,-2.152083333333272
44,3,-2.099999999999942
44,4,-2.099999999999942
45,0,-2.099999999999942
45,1,-2.099583333333275
45,2,-2.0664062499999645
45,3,-2.099583333333275
45,4,-2.099999999999942
46,0,-2.099999999999942
46,1,-2.099999999999942
46,2,-2.1007187499999413
46,3,-2.0991666666666084
46,4,-2.099999999999942
47,0,-2.1003645833332754
47,1,-2.099999999999942
47,2,-2.0669374999999612
47,3,-2.0997916666666083
47,4,-2.099999999999942
48,0,-2.099999999999942
48,1,-2.099999999999942
48,2,-2.0983541666666343
48,3,-2.099583333333275
48,4,-2.099999999999942
49,0,-2.1003645833332754
49,1,-2.316187499999961
49,2,-2.1812812499999295
49,3,-2.099999999999942
49,4,-2.099999999999942
50,0,-2.099999999999942
50,1,-2.099999999999942
50,2,-2.01720833333335
50,3,-2.099999999999942
50,4,-2.099999999999942
51,0,-2.099999999999942
51,1,-2.099999999999942
51,2,-2.0669687499999614
51,3,-2.099999999999942
51,4,-2.099999999999942
52,0,-2.099999999999942
52,1,-2.366124999999966
52,2,-2.0639687500000155
52,3,-2.099999999999942
52,4,-2.099999999999942
53,0,-2.099999999999942
53,1,-2.149968749999961
53,2,-2.1129895833332832
53,3,-2.099999999999942
53,4,-2.099999999999942
54,0,-2.099999999999942
54,1,-2.099374999999942
54,2,-2.116406249999952
54,3,-2.099999999999942
54,4,-2.099999999999942
55,0,-2.099999999999942
55,1,-2.099999999999942
55,2,-2.0902187499999614
55,3,-2.098958333333275
55,4,-2.099999999999942
56,0,-2.099999999999942
56,1,-2.099999999999942
56,2,-2.193260416666627
56,3,-2.099999999999942
56,4,-2.099999999999942
57,0,-2.099999999999942
57,1,-2.099999999999942
57,2,-2.1833020833332744
57,3,-2.099999999999942
57,4,-2.099999999999942
58,0,-2.1012499999999417
58,1,-2.099999999999942
58,2,-2.183145833333274
58,3,-2.099999999999942
58,4,-2.099999999999942
59,0,-2.099999999999942
59,1,-2.099583333333275
59,2,-2.066822916666628
59,3,-2.099999999999942
59,4,-2.099999999999942
60,0,-2.1004166666666086
60,1,-2.099999999999942
60,2,-2.2664062499999393
60,3,-2.099999999999942
60,4,-2.099999999999942
61,0,-2.1004166666666086
61,1,-2.099999999999942
61,2,-2.1053541666667
61,3,-2.099583333333275
61,4,-2.099999999999942
62,0,-2.2995833333332807
62,1,-2.099999999999942
62,2,-2.038729166666684
62,3,-2.0991666666666084
62,4,-2.099999999999942
63,0,-2.1004166666666086
63,1,-2.099999999999942
63,2,-2.122416666666648
63,3,-2.099583333333275
63,4,-2.099999999999942
64,0,-2.101489583333275
64,1,-2.099999999999942
64,2,-2.1499583333332946
64,3,-2.099999999999942
64,4,-2.099999999999942
65,0,-2.1009270833332754
65,1,-2.099999999999942
65,2,-2.1666354166666637
65,3,-2.099999999999942
65,4,-2.099999999999942
66,0,-2.584281249999964
66,1,-2.099999999999942
66,2,-2.018343750000016
66,3,-2.099999999999942
66,4,-2.099999999999942
67,0,-2.2646666666666078
67,1,-2.099583333333275
67,2,-2.083416666666644
67,3,-2.099583333333275
67,4,-2.099999999999942
68,0,-2.100874999999942
68,1,-2.099999999999942
68,2,-2.1667187499999763
68,3,-2.099583333333275
68,4,-2.099999999999942
69,0,-2.100874999999942
