Iteration,Average_Reward
1,-2.435009027777747
2,-2.360952777777761
3,-2.358233333333314
4,-2.2002027777777426
5,-2.2619791666666353
6,-2.3009374999999856
7,-2.350576388888885
8,-2.1124027777777457
9,-2.301166666666659
10,-2.3431277777777835
11,-2.235285416666655
12,-2.3540652777777664
13,-2.3938124999999806
14,-2.337466666666652
15,-2.453109722222197
16,-2.110902777777754
17,-2.111861111111087
18,-2.407215277777754
19,-2.215302083333327
20,-2.1443611111110696
21,-2.09425694444439
22,-2.05894444444441
23,-2.15221527777773
24,-2.1164305555555294
25,-2.2162430555555135
26,-2.2443749999999776
27,-2.149187499999981
28,-2.228597222222206
29,-2.111079861111088
30,-2.188944444444437
31,-2.253791666666649
32,-2.189187499999977
33,-2.2518819444444227
34,-2.300111111111101
35,-2.1627847222222036
36,-2.1903194444444183
37,-2.1954999999999707
38,-2.055312499999966
39,-2.047993055555524
40,-2.0605347222221853
41,-2.061020833333296
42,-2.0611736111110743
43,-2.0477638888888556
44,-2.058874999999964
45,-2.079423611111097
46,-2.138763888888886
47,-2.172395833333315
48,-2.1980347222221956
49,-2.0560763888888545
50,-2.232972222222173
51,-2.288673611111073
52,-2.288645833333291
53,-2.2665416666666367
54,-2.133083333333297
55,-2.185215277777751
56,-2.276999999999963
57,-2.19341736111107
58,-2.1127326388888426
59,-2.2441381944444223
60,-2.2553472222221966
61,-2.247015972222195
62,-2.3219055555555315
63,-2.3030006944444255
64,-2.2238479166666476
65,-2.160026388888873
66,-2.155534722222202
67,-2.10302638888884
68,-2.1599236111110636
69,-2.2431437499999625
70,-2.1829930555555315
71,-2.2254145833333157
72,-2.1460909722222024
73,-2.148954166666633
74,-2.2331666666666172
75,-2.216930555555516
76,-2.2743090277777527
77,-2.299680555555511
78,-2.166541666666613
79,-2.233090277777729
80,-2.1998749999999694
81,-2.0556041666666323
82,-2.0833013888888483
83,-2.083214583333297
84,-2.091649999999981
85,-2.0633749999999673
86,-2.056870833333304
87,-2.0567638888888595
88,-2.116333333333299
89,-2.0523187499999733
90,-2.04440277777775
91,-2.052302777777746
92,-2.0485687499999714
93,-2.041962499999978
94,-2.2315368055555402
95,-2.1495708333333083
96,-2.1066249999999704
97,-2.0986270833332945
98,-2.087183333333293
99,-2.125033333333291
