Iteration,Agent_ID,Average_Reward
1,0,-2.5004166666666596
1,1,-2.4638229166666585
1,2,-2.2302222222221575
1,3,-2.100208333333275
1,4,-2.880374999999985
2,0,-2.157708333333274
2,1,-2.454291666666649
2,2,-1.933649305555565
2,3,-2.249947916666653
2,4,-3.009166666666666
3,0,-2.164374999999941
3,1,-3.093520833333353
3,2,-2.000145833333368
3,3,-2.099999999999942
3,4,-2.433124999999965
4,0,-2.6027083333332985
4,1,-2.0996874999999418
4,2,-2.1663958333333277
4,3,-2.032222222222205
4,4,-2.099999999999942
5,0,-2.6877777777777716
5,1,-2.1004166666666086
5,2,-2.044270833333305
5,3,-2.0444791666666386
5,4,-2.432951388888853
6,0,-2.8107638888888764
6,1,-2.2551388888888946
6,2,-2.0718749999999577
6,3,-2.0444097222221944
6,4,-2.322500000000005
7,0,-2.6872569444444294
7,1,-2.7660416666666543
7,2,-1.9886805555555576
7,3,-1.8777430555555936
7,4,-2.4331597222221872
8,0,-2.099999999999942
8,1,-2.403645833333298
8,2,-2.0800694444443977
8,3,-1.878298611111149
8,4,-2.099999999999942
9,0,-2.7660416666666543
9,1,-2.273333333333369
9,2,-1.988888888888891
9,3,-2.099722222222164
9,4,-2.377847222222217
10,0,-2.7658333333333207
10,1,-2.264895833333369
10,2,-2.3529999999999895
10,3,-1.9333680555555877
10,4,-2.39854166666665
11,0,-2.754791666666653
11,1,-1.8223263888889327
11,2,-2.499052083333261
11,3,-2.1168194444444253
11,4,-1.983437500000002
12,0,-2.7658333333333207
12,1,-2.139722222222269
12,2,-2.333104166666668
12,3,-2.099999999999942
12,4,-2.431666666666631
13,0,-2.4431249999999647
13,1,-1.9884722222222244
13,2,-2.099999999999942
13,3,-2.432083333333298
13,4,-3.005381944444474
14,0,-2.7659374999999873
14,1,-2.4329166666666313
14,2,-2.099999999999942
14,3,-2.3995208333333635
14,4,-1.9889583333333354
15,0,-2.433124999999965
15,1,-2.3219097222222276
15,2,-2.6440208333333084
15,3,-2.433333333333298
15,4,-2.433159722222187
16,0,-2.432499999999965
16,1,-1.9331250000000322
16,2,-1.988888888888891
16,3,-2.099999999999942
16,4,-2.099999999999942
17,0,-2.4370833333332977
17,1,-1.9333333333333655
17,2,-1.988888888888891
17,3,-2.099999999999942
17,4,-2.099999999999942
18,0,-2.7655208333333205
18,1,-2.6926736111111267
18,2,-2.0443402777777497
18,3,-2.100208333333275
18,4,-2.433333333333298
19,0,-2.543854166666716
19,1,-2.0990277777777195
19,2,-1.9168055555555903
19,3,-2.0834895833333107
19,4,-2.433333333333298
20,0,-2.0443402777777497
