Iteration,Average_Reward
1,-10.06605208333328
2,-10.608177083333308
3,-10.642833333333492
4,-10.56595833333344
5,-10.5
6,-10.5
7,-10.47529166666668
8,-10.5
9,-10.552677083333256
10,-10.500468750000001
11,-10.54175000000012
12,-10.566625000000107
13,-10.5
14,-10.932447916666687
15,-10.769937499999997
16,-11.293510416666635
17,-10.869895833333223
18,-10.566322916666644
19,-10.716072916666754
20,-10.644760416666669
21,-11.025104166666674
22,-10.852249999999993
23,-10.5
24,-10.5
25,-10.549999999999947
26,-10.5
27,-11.031666666666759
28,-10.993479166666773
29,-10.733145833333296
30,-10.583083333333333
31,-10.880531249999935
32,-10.558656250000022
33,-10.566052083333439
34,-10.807479166666688
35,-10.748927083333362
36,-10.716395833333294
37,-10.723979166666675
38,-10.558427083333347
39,-10.5
40,-10.466687500000205
41,-10.566468750000105
42,-10.549885416666603
43,-10.466552083333257
44,-10.735416666666717
45,-10.764958333333468
46,-10.782093750000058
47,-10.5
48,-10.716083333333295
49,-10.526104166666661
50,-10.533677083333414
51,-10.800114583333281
52,-10.534322916666731
53,-10.50040625
54,-10.484395833333435
55,-10.633812499999925
56,-10.501697916666666
57,-10.751010416666658
58,-10.566947916666772
59,-10.617114583333384
60,-10.650062499999828
61,-10.616979166666718
62,-10.56670833333344
63,-10.5
64,-10.46685416666659
65,-10.816187500000106
66,-10.965927083333554
67,-10.5
68,-10.483572916666768
69,-10.716427083333294
70,-10.566916666666481
71,-10.749770833333322
72,-10.616562500000054
73,-10.932875000000147
74,-10.45033333333336
75,-10.81634375000011
76,-10.882895833333286
77,-10.5333020833334
78,-10.533583333333373
79,-10.650166666666768
80,-10.758697916666554
81,-10.467364583333255
82,-10.734114583333445
83,-10.866593750000034
84,-10.833125000000015
85,-10.616906250000055
86,-10.583656249999956
87,-10.800385416666588
88,-10.749447916666645
89,-10.766750000000146
90,-10.782677083333374
91,-10.533614583333373
92,-10.633333333333544
93,-10.667166666666665
94,-10.475114583333346
95,-10.766499999999887
96,-10.409656250000195
97,-10.733458333333454
98,-10.799677083333256
99,-10.583437499999977
100,-10.65832291666643
101,-11.356239583333243
102,-11.02173958333342
103,-10.947010416666444
104,-10.64142708333337
105,-10.71591666666675
106,-10.732760416666496
107,-10.970729166666892
108,-10.990093749999929
109,-10.807593750000015
110,-11.005010416666615
111,-11.030541666666592
112,-10.599270833333206
113,-10.780281249999923
114,-11.047791666666619
115,-10.682885416666537
116,-10.699802083333259
117,-10.599489583333225
118,-10.5
119,-10.500010416666667
120,-10.49990625
121,-10.466708333333257
122,-10.965468749999985
123,-10.450104166666693
124,-10.599812499999892
125,-10.599739583333227
126,-10.665583333333332
127,-10.68258333333352
128,-10.550124999999923
129,-10.46660416666659
130,-10.649572916666765
131,-10.5
132,-10.615927083333398
133,-10.666114583333334
134,-10.600093749999896
135,-10.650041666666775
136,-10.5
137,-10.516531249999895
138,-10.5
139,-10.81467708333337
140,-10.466749999999923
141,-10.63343749999995
142,-10.682635416666557
143,-10.533375000000065
144,-10.865739583333351
145,-11.064572916666487
146,-10.5
147,-10.632958333333283
148,-10.5
149,-10.5
150,-10.549874999999936
151,-10.499895833333333
152,-10.532749999999792
153,-10.549666666666603
154,-10.5
155,-10.499895833333333
156,-10.682447916666556
157,-10.591593749999946
158,-10.574979166666715
159,-10.51608333333323
160,-10.682760416666556
161,-10.5
162,-10.4996875
163,-10.499791666666667
164,-10.499895833333333
165,-10.566322916666772
166,-10.765812499999896
167,-10.499895833333333
168,-10.499791666666667
169,-10.5
170,-10.499375
171,-10.5
172,-10.499166666666667
173,-10.499479166666667
174,-10.4996875
175,-10.5
176,-10.766499999999887
177,-10.499583333333334
178,-10.4996875
179,-10.716395833333294
180,-10.499895833333333
181,-10.499791666666667
182,-10.499479166666667
183,-10.482927083333436
184,-10.499583333333334
185,-10.5
186,-10.4996875
187,-10.649635416666776
188,-10.4996875
189,-10.665791666666665
190,-10.864770833333374
191,-10.591572916666614
192,-10.849541666666552
193,-10.4996875
194,-10.549385416666603
195,-10.549802083333269
196,-10.799281249999936
197,-10.499791666666667
198,-10.499479166666667
199,-10.499583333333334
200,-10.549802083333269
201,-10.499895833333333
202,-10.715708333333295
203,-10.660125000000107
204,-10.765874999999888
205,-10.69932291666671
206,-10.499895833333333
207,-10.931874999999886
208,-10.5
209,-10.499270833333334
210,-10.649416666666776
211,-10.499375
212,-10.499583333333334
213,-10.666072916666666
214,-10.499375
215,-10.6644375
216,-10.54964583333327
217,-10.749531249999999
218,-10.657968750000054
219,-10.533270833333399
220,-10.64963541666665
221,-10.516875000000034
222,-10.5
223,-10.499583333333334
224,-10.499791666666667
225,-10.799302083333275
226,-10.483166666666769
227,-10.499270833333334
228,-10.5
229,-10.499791666666667
230,-10.483468750000101
231,-10.691333333333302
232,-10.499479166666667
233,-10.4996875
234,-10.499895833333333
235,-10.499583333333334
236,-10.499791666666667
237,-10.74959374999999
238,-11.130385416666897
239,-10.632416666666872
240,-10.882458333333268
241,-10.798052083333552
242,-10.633583333333283
243,-10.483500000000104
244,-10.68301041666656
245,-10.499270833333334
246,-10.499583333333334
247,-10.83335416666668
248,-11.114541666666712
249,-11.047364583333264
250,-10.665458333333333
251,-10.4996875
252,-10.532791666666734
253,-10.699666666666452
254,-10.915177083333264
255,-10.782406250000053
256,-10.682927083333224
257,-10.499583333333334
258,-10.815791666666476
259,-10.681427083333228
260,-10.631197916666592
261,-10.665104166666667
262,-10.499583333333334
263,-10.698093750000067
264,-10.665666666666667
265,-10.734187500000104
266,-10.831125
267,-10.68303124999989
268,-11.013999999999884
269,-10.716125000000213
270,-10.499791666666667
271,-10.499270833333334
272,-10.832239583333324
273,-10.83284374999999
274,-10.5
275,-10.632718749999949
276,-10.815291666666775
277,-10.799031249999972
278,-10.715666666666628
279,-10.815520833333428
280,-10.499583333333334
281,-10.5
282,-10.749322916666666
283,-10.4996875
284,-10.5
285,-10.666177083333332
286,-10.4996875
287,-10.549656249999936
288,-10.699531250000042
289,-10.715979166666628
290,-10.499375
291,-10.5
292,-10.499583333333334
293,-10.5
294,-10.499583333333334
295,-10.5
296,-10.499895833333333
297,-10.499895833333333
298,-10.499895833333333
299,-10.5
300,-10.499895833333333
301,-10.499479166666667
302,-10.5
303,-10.4996875
304,-10.5
305,-10.499895833333333
306,-10.5
307,-10.499791666666667
308,-10.499791666666667
309,-10.5
310,-10.499270833333334
311,-10.499791666666667
312,-10.499895833333333
313,-10.5
314,-10.499791666666667
315,-10.499895833333333
316,-10.499895833333333
317,-10.499583333333334
318,-10.499791666666667
319,-10.499791666666667
320,-10.4996875
321,-10.499791666666667
322,-10.5
323,-10.499895833333333
324,-10.499375
325,-10.499270833333334
326,-10.499791666666667
327,-10.5
328,-10.499583333333334
329,-10.5
330,-10.499895833333333
331,-10.4996875
332,-10.5
333,-10.499270833333334
334,-10.5
335,-10.499895833333333
336,-10.5
337,-10.499895833333333
338,-10.57326041666665
339,-10.5
340,-10.5
341,-10.699593749999925
342,-10.699343749999924
343,-10.5
344,-10.499375
345,-10.57041666666661
346,-10.499791666666667
347,-10.570447916666609
348,-10.570135416666613
349,-10.4996875
350,-10.5
351,-10.75767708333329
352,-10.809427083333352
353,-10.5
354,-10.5
355,-10.707916666666668
356,-10.499791666666667
357,-10.57047916666661
358,-10.499895833333333
359,-10.4990625
360,-10.757614583333288
361,-10.570208333333277
362,-10.49975
363,-10.532645833333346
364,-10.5
365,-10.4996875
366,-10.466708333333257
367,-10.569927083333276
368,-10.75798958333329
369,-10.499791666666667
370,-10.549635416666604
371,-10.582968750000001
372,-10.499895833333333
373,-10.552239583333396
374,-10.582968750000001
375,-10.499791666666667
376,-10.901562499999917
377,-10.5
378,-10.5
379,-10.5
380,-10.715666666666628
381,-10.716083333333295
382,-10.5
383,-10.566625000000107
384,-10.580500000000017
385,-11.04052083333333
386,-10.774552083333292
387,-10.716083333333295
388,-10.724510416666703
389,-10.499958333333334
390,-10.716322916666627
391,-10.724093750000037
392,-10.5
393,-10.5
394,-10.499583333333334
395,-10.724437500000036
396,-10.715979166666628
397,-10.5
398,-10.4996875
399,-10.499583333333334
400,-10.5
401,-10.716083333333295
402,-10.748854166666668
403,-10.5
404,-10.749270833333334
405,-10.566625000000107
406,-10.649791666666776
407,-10.683291666666557
