Iteration,Agent_ID,Average_Reward
1,0,-10.06605208333328
1,1,-10.06605208333328
1,2,-10.06605208333328
1,3,-10.06605208333328
1,4,-10.06605208333328
2,0,-10.608177083333308
2,1,-10.608177083333308
2,2,-10.608177083333308
2,3,-10.608177083333308
2,4,-10.608177083333308
3,0,-10.642833333333492
3,1,-10.642833333333492
3,2,-10.642833333333492
3,3,-10.642833333333492
3,4,-10.642833333333492
4,0,-10.56595833333344
4,1,-10.56595833333344
4,2,-10.56595833333344
4,3,-10.56595833333344
4,4,-10.56595833333344
5,0,-10.5
5,1,-10.5
5,2,-10.5
5,3,-10.5
5,4,-10.5
6,0,-10.5
6,1,-10.5
6,2,-10.5
6,3,-10.5
6,4,-10.5
7,0,-10.47529166666668
7,1,-10.47529166666668
7,2,-10.47529166666668
7,3,-10.47529166666668
7,4,-10.47529166666668
8,0,-10.5
8,1,-10.5
8,2,-10.5
8,3,-10.5
8,4,-10.5
9,0,-10.552677083333256
9,1,-10.552677083333256
9,2,-10.552677083333256
9,3,-10.552677083333256
9,4,-10.552677083333256
10,0,-10.500468750000001
10,1,-10.500468750000001
10,2,-10.500468750000001
10,3,-10.500468750000001
10,4,-10.500468750000001
11,0,-10.54175000000012
11,1,-10.54175000000012
11,2,-10.54175000000012
11,3,-10.54175000000012
11,4,-10.54175000000012
12,0,-10.566625000000107
12,1,-10.566625000000107
12,2,-10.566625000000107
12,3,-10.566625000000107
12,4,-10.566625000000107
13,0,-10.5
13,1,-10.5
13,2,-10.5
13,3,-10.5
13,4,-10.5
14,0,-10.932447916666687
14,1,-10.932447916666687
14,2,-10.932447916666687
14,3,-10.932447916666687
14,4,-10.932447916666687
15,0,-10.769937499999997
15,1,-10.769937499999997
15,2,-10.769937499999997
15,3,-10.769937499999997
15,4,-10.769937499999997
16,0,-11.293510416666635
16,1,-11.293510416666635
16,2,-11.293510416666635
16,3,-11.293510416666635
16,4,-11.293510416666635
17,0,-10.869895833333223
17,1,-10.869895833333223
17,2,-10.869895833333223
17,3,-10.869895833333223
17,4,-10.869895833333223
18,0,-10.566322916666644
18,1,-10.566322916666644
18,2,-10.566322916666644
18,3,-10.566322916666644
18,4,-10.566322916666644
19,0,-10.716072916666754
19,1,-10.716072916666754
19,2,-10.716072916666754
19,3,-10.716072916666754
19,4,-10.716072916666754
20,0,-10.644760416666669
20,1,-10.644760416666669
20,2,-10.644760416666669
20,3,-10.644760416666669
20,4,-10.644760416666669
21,0,-11.025104166666674
21,1,-11.025104166666674
21,2,-11.025104166666674
21,3,-11.025104166666674
21,4,-11.025104166666674
22,0,-10.852249999999993
22,1,-10.852249999999993
22,2,-10.852249999999993
22,3,-10.852249999999993
22,4,-10.852249999999993
23,0,-10.5
23,1,-10.5
23,2,-10.5
23,3,-10.5
23,4,-10.5
24,0,-10.5
24,1,-10.5
24,2,-10.5
24,3,-10.5
24,4,-10.5
25,0,-10.549999999999947
25,1,-10.549999999999947
25,2,-10.549999999999947
25,3,-10.549999999999947
25,4,-10.549999999999947
26,0,-10.5
26,1,-10.5
26,2,-10.5
26,3,-10.5
26,4,-10.5
27,0,-11.031666666666759
27,1,-11.031666666666759
27,2,-11.031666666666759
27,3,-11.031666666666759
27,4,-11.031666666666759
28,0,-10.993479166666773
28,1,-10.993479166666773
28,2,-10.993479166666773
28,3,-10.993479166666773
28,4,-10.993479166666773
29,0,-10.733145833333296
29,1,-10.733145833333296
29,2,-10.733145833333296
29,3,-10.733145833333296
29,4,-10.733145833333296
30,0,-10.583083333333333
30,1,-10.583083333333333
30,2,-10.583083333333333
30,3,-10.583083333333333
30,4,-10.583083333333333
31,0,-10.880531249999935
31,1,-10.880531249999935
31,2,-10.880531249999935
31,3,-10.880531249999935
31,4,-10.880531249999935
32,0,-10.558656250000022
32,1,-10.558656250000022
32,2,-10.558656250000022
32,3,-10.558656250000022
32,4,-10.558656250000022
33,0,-10.566052083333439
33,1,-10.566052083333439
33,2,-10.566052083333439
33,3,-10.566052083333439
33,4,-10.566052083333439
34,0,-10.807479166666688
34,1,-10.807479166666688
34,2,-10.807479166666688
34,3,-10.807479166666688
34,4,-10.807479166666688
35,0,-10.748927083333362
35,1,-10.748927083333362
35,2,-10.748927083333362
35,3,-10.748927083333362
35,4,-10.748927083333362
36,0,-10.716395833333294
36,1,-10.716395833333294
36,2,-10.716395833333294
36,3,-10.716395833333294
36,4,-10.716395833333294
37,0,-10.723979166666675
37,1,-10.723979166666675
37,2,-10.723979166666675
37,3,-10.723979166666675
37,4,-10.723979166666675
38,0,-10.558427083333347
38,1,-10.558427083333347
38,2,-10.558427083333347
38,3,-10.558427083333347
38,4,-10.558427083333347
39,0,-10.5
39,1,-10.5
39,2,-10.5
39,3,-10.5
39,4,-10.5
40,0,-10.466687500000205
40,1,-10.466687500000205
40,2,-10.466687500000205
40,3,-10.466687500000205
40,4,-10.466687500000205
41,0,-10.566468750000105
41,1,-10.566468750000105
41,2,-10.566468750000105
41,3,-10.566468750000105
41,4,-10.566468750000105
42,0,-10.549885416666603
42,1,-10.549885416666603
42,2,-10.549885416666603
42,3,-10.549885416666603
42,4,-10.549885416666603
43,0,-10.466552083333257
43,1,-10.466552083333257
43,2,-10.466552083333257
43,3,-10.466552083333257
43,4,-10.466552083333257
44,0,-10.735416666666717
44,1,-10.735416666666717
44,2,-10.735416666666717
44,3,-10.735416666666717
44,4,-10.735416666666717
45,0,-10.764958333333468
45,1,-10.764958333333468
45,2,-10.764958333333468
45,3,-10.764958333333468
45,4,-10.764958333333468
46,0,-10.782093750000058
46,1,-10.782093750000058
46,2,-10.782093750000058
46,3,-10.782093750000058
46,4,-10.782093750000058
47,0,-10.5
47,1,-10.5
47,2,-10.5
47,3,-10.5
47,4,-10.5
48,0,-10.716083333333295
48,1,-10.716083333333295
48,2,-10.716083333333295
48,3,-10.716083333333295
48,4,-10.716083333333295
