Iteration,Average_Reward
1,-2.140989583333294
2,-2.1698083333332727
3,-2.1932124999999494
4,-2.146464583333273
5,-2.1232708333332746
6,-2.156074999999941
7,-2.169639583333273
8,-2.1600187499999657
9,-2.1664291666666258
10,-2.1314770833332792
11,-2.099999999999942
12,-2.099999999999942
13,-2.099999999999942
14,-2.099999999999942
15,-2.099999999999942
16,-2.099999999999942
17,-2.099999999999942
18,-2.099999999999942
19,-2.099999999999942
20,-2.099999999999942
21,-2.099999999999942
22,-2.099999999999942
23,-2.099999999999942
24,-2.099999999999942
25,-2.0998749999999418
26,-2.099958333333275
27,-2.099999999999942
28,-2.099958333333275
29,-2.099999999999942
30,-2.0999166666666085
31,-2.099999999999942
32,-2.099999999999942
33,-2.099999999999942
34,-2.099958333333275
35,-2.099958333333275
36,-2.099999999999942
37,-2.0999166666666085
38,-2.099999999999942
39,-2.099999999999942
40,-2.099958333333275
41,-2.2128458333332865
42,-2.1115791666666146
43,-2.0999791666666083
44,-2.1329770833332753
45,-2.099999999999942
46,-2.133197916666609
47,-2.126468749999946
48,-2.162887499999951
49,-2.1329979166666084
50,-2.1923499999999456
51,-2.1597229166666123
52,-2.1661395833332753
53,-2.0999374999999416
54,-2.225272916666617
55,-2.1663791666666086
56,-2.1262791666666123
57,-2.133018749999942
58,-2.1328645833332756
59,-2.1330604166666083
60,-2.126420833333279
61,-2.1528749999999492
62,-2.126360416666613
63,-2.1264854166666125
64,-2.133074999999942
65,-2.17943541666662
66,-2.138208333333279
67,-2.1249479166666085
68,-2.099999999999942
69,-2.0932999999999455
70,-2.099958333333275
71,-2.099999999999942
72,-2.0999791666666083
73,-2.099999999999942
74,-2.099999999999942
75,-2.1265374999999453
76,-2.099958333333275
77,-2.093362499999946
78,-2.153191666666616
79,-2.099999999999942
80,-2.099999999999942
81,-2.099999999999942
82,-2.099999999999942
83,-2.0999791666666083
84,-2.0999374999999416
85,-2.099999999999942
86,-2.0999791666666083
87,-2.099958333333275
88,-2.099958333333275
89,-2.099999999999942
90,-2.0999166666666085
91,-2.099999999999942
92,-2.0933416666666127
93,-2.0999791666666083
94,-2.099999999999942
95,-2.099999999999942
96,-2.1099333333332795
97,-2.0999166666666085
98,-2.0999374999999416
99,-2.0999791666666083
100,-2.109945833333279
101,-2.099958333333275
102,-2.0999374999999416
103,-2.099999999999942
104,-2.099999999999942
105,-2.099958333333275
106,-2.099999999999942
107,-2.0999791666666083
108,-2.099958333333275
109,-2.099833333333275
110,-2.099958333333275
111,-2.099999999999942
112,-2.0999791666666083
113,-2.0998541666666086
114,-2.099958333333275
115,-2.099999999999942
116,-2.0998958333332753
117,-2.0999166666666085
118,-2.099999999999942
119,-2.0998958333332753
120,-2.099958333333275
121,-2.099999999999942
122,-2.126681249999958
123,-2.126649999999958
124,-2.099999999999942
125,-2.093237499999946
126,-2.0999166666666085
127,-2.099958333333275
128,-2.0998749999999418
129,-2.0999166666666085
130,-2.099999999999942
131,-2.099958333333275
132,-2.099958333333275
133,-2.0998958333332753
